,Unnamed: 0,Escola,Curso,Cor ,Genero,Ano,Idade,Demora dormir,Sonhos ruins,Qualidade do sono,Relação com Amigos,Relação com Professores,Auto-Imag,Fisico,Social,Verbal,Material,Virtual,Mora com pais,Escolari-mãe,Escolari-pai,Nota-exatas,Nota-humanas,Nota-biológicas,Tipo escola,Nota-media
333,333,ETEC-OS,Conc-Sub,Parda,Feminino,1,18,2-3 vezes por semana,1,Regular,Muito boa,Regular,Ruim,2,2,2,2,2,Não,Fundamental 1,Ensino médio,3,4,4,Pública,3.6666666666666665
324,324,SJ,Integrado,Branca,Feminino,3,17,> 3 vezes por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,2,6,4,3,Sim,Graduação,Pós-graduação,2,5,5,Privada,4.0
470,470,ETEC-HM,Conc-Sub,Parda,Feminino,3,19,> 3 vezes por semana,2,Regular,Muito boa,Boa,Regular,0,0,0,0,0,Sim,Ensino médio,Ensino médio,2,3,3,Pública,2.6666666666666665
352,352,ETEC-BQ,Conc-Sub,Branca,Masculino,2,17,> 3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,0,1,0,Não,Graduação,Fundamental 2,3,3,3,Pública,3.0
233,233,IFSP,Integrado,Branca,Feminino,1,16,< 1 vez por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,0,0,0,0,Não,Graduação,Ensino médio,4,4,4,Pública,4.0
438,438,ETEC-BQ,Conc-Sub,Negra,Feminino,3,19,> 3 vezes por semana,0,Regular,Muito boa,Muito boa,Boa,0,1,0,0,0,Sim,Fundamental 2,Fundamental 1,4,4,4,Pública,4.0
164,164,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,1,Regular,Regular,Boa,Ruim,1,2,5,2,6,Não,Fundamental 1,Fundamental 2,5,4,3,Pública,4.0
136,136,ETIM,Integrado,Negra,Feminino,2,17,2-3 vezes por semana,2,Regular,Boa,Boa,Muito boa,0,0,0,0,0,Sim,Pós-graduação,Graduação,3,4,5,Pública,4.0
197,197,IFSP,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,0,Boa,Boa,Boa,Regular,4,1,4,1,2,Sim,Pós-graduação,Pós-graduação,3,3,3,Pública,3.0
258,258,RB,Integrado,Branca,Feminino,2,15,2-3 vezes por semana,1,Regular,Boa,Boa,Regular,0,3,3,3,0,Sim,Pós-graduação,Pós-graduação,4,4,3,Privada,3.6666666666666665
232,232,IFSP,Integrado,Parda,Feminino,1,15,> 3 vezes por semana,0,Ruim,Muito boa,Muito boa,Boa,0,1,0,0,0,Sim,Fundamental 1,Graduação,4,4,4,Pública,4.0
115,115,ETIM,Integrado,Parda,Masculino,2,17,< 1 vez por semana,0,Regular,Muito boa,Ruim,Muito boa,0,2,4,2,0,Sim,Fundamental 2,Fundamental 2,5,5,5,Pública,5.0
120,120,ETIM,Integrado,Branca,Masculino,2,16,> 3 vezes por semana,2,Ruim,Boa,Regular,Regular,0,0,0,0,0,Sim,Ensino médio,Fundamental 2,4,4,4,Pública,4.0
342,342,ETEC-OS,Conc-Sub,Branca,Masculino,1,18,1-2 vezes por semana,0,Boa,Muito boa,Boa,Boa,4,4,4,4,4,Sim,Graduação,Ensino médio,5,4,4,Pública,4.333333333333333
224,224,IFSP,Integrado,Branca,Feminino,2,17,2-3 vezes por semana,1,Boa,Boa,Boa,Regular,0,0,0,0,0,Não,Pós-graduação,Ensino médio,3,4,2,Pública,3.0
395,395,ETEC-BQ,Conc-Sub,Branca,Masculino,1,18,> 3 vezes por semana,1,Ruim,Regular,Boa,Boa,2,0,4,3,0,Não,Ensino médio,Fundamental 2,3,4,4,Pública,3.6666666666666665
331,331,ETEC-OS,Conc-Sub,Parda,Masculino,1,18,1-2 vezes por semana,1,Boa,Boa,Regular,Regular,3,3,3,3,3,Sim,Fundamental 1,Fundamental 1,3,4,4,Pública,3.6666666666666665
127,127,ETIM,Integrado,Branca,Feminino,3,18,2-3 vezes por semana,0,Boa,Boa,Boa,Boa,0,0,1,2,0,Sim,Graduação,Graduação,5,4,4,Pública,4.333333333333333
285,285,RB,Integrado,Branca,Masculino,3,16,< 1 vez por semana,0,Muito boa,Muito boa,Muito boa,Muito boa,0,2,0,0,0,Sim,Pós-graduação,Pós-graduação,5,5,5,Privada,5.0
404,404,ETEC-BQ,Conc-Sub,Branca,Masculino,3,18,2-3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,0,0,0,Não,Pós-graduação,Ensino médio,4,4,4,Pública,4.0
107,107,ETIM,Integrado,Branca,Masculino,1,16,1-2 vezes por semana,0,Regular,Regular,Boa,Regular,4,0,6,3,1,Sim,Ensino médio,Graduação,3,3,3,Pública,3.0
460,460,ETEC-HM,Conc-Sub,Branca,Feminino,2,18,> 3 vezes por semana,3,Muito ruim,Boa,Muito boa,Ruim,0,0,1,0,0,Não,Ensino médio,Ensino médio,5,4,5,Pública,4.666666666666667
320,320,SJ,Integrado,Branca,Feminino,2,16,2-3 vezes por semana,0,Regular,Boa,Muito boa,Ruim,2,6,6,2,4,Sim,Ensino médio,Graduação,2,4,4,Privada,3.333333333333333
133,133,ETIM,Integrado,Branca,Feminino,2,16,1-2 vezes por semana,2,Ruim,Muito boa,Boa,Muito boa,3,1,3,2,0,Sim,Graduação,Ensino médio,5,4,4,Pública,4.333333333333333
356,356,ETEC-BQ,Conc-Sub,Parda,Feminino,1,18,2-3 vezes por semana,1,Ruim,Muito boa,Boa,Regular,0,1,0,0,0,Sim,Fundamental 1,Fundamental 1,3,4,5,Pública,4.0
44,44,ETIM,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,0,Muito ruim,Regular,Regular,Regular,0,0,4,4,1,Sim,Ensino médio,Ensino médio,2,2,4,Pública,2.6666666666666665
450,450,ETEC-BQ,Conc-Sub,Branca,Masculino,3,19,< 1 vez por semana,0,Ruim,Muito boa,Muito boa,Muito boa,0,0,0,0,0,Não,Fundamental 2,Ensino médio,5,5,5,Pública,5.0
65,65,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,3,Muito ruim,Muito boa,Boa,Regular,2,0,2,2,0,Não,Pós-graduação,Graduação,4,5,5,Pública,4.666666666666667
283,283,RB,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,2,Ruim,Muito boa,Boa,Regular,0,1,2,0,0,Sim,Graduação,Pós-graduação,4,4,5,Privada,4.333333333333333
85,85,ETIM,Integrado,Branca,Masculino,2,18,> 3 vezes por semana,1,Regular,Muito boa,Boa,Boa,0,0,1,1,0,Não,Ensino médio,Ensino médio,2,4,2,Pública,2.6666666666666665
242,242,RB,Integrado,Branca,Masculino,1,15,< 1 vez por semana,0,Regular,Boa,Boa,Regular,0,1,4,2,2,Sim,Graduação,Pós-graduação,5,4,4,Privada,4.333333333333333
186,186,ETIM,Integrado,Parda,Masculino,3,18,2-3 vezes por semana,1,Boa,Muito boa,Boa,Muito boa,2,0,0,2,0,Não,Ensino médio,Ensino médio,4,4,3,Pública,3.6666666666666665
159,159,ETIM,Integrado,Negra,Feminino,1,15,< 1 vez por semana,1,Regular,Boa,Boa,Regular,2,0,0,1,0,Sim,Ensino médio,Ensino médio,3,3,3,Pública,3.0
12,12,ETIM,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,1,Muito ruim,Boa,Regular,Boa,0,2,1,0,4,Sim,Ensino médio,Fundamental 2,1,3,3,Pública,2.333333333333333
35,35,ETIM,Integrado,Parda,Feminino,1,15,2-3 vezes por semana,2,Regular,Muito boa,Boa,Regular,0,2,1,0,0,Sim,Pós-graduação,Graduação,4,4,4,Pública,4.0
28,28,ETIM,Integrado,Negra,Feminino,3,18,> 3 vezes por semana,3,Regular,Muito boa,Boa,Muito ruim,0,0,2,0,0,Não,Ensino médio,Ensino médio,3,4,5,Pública,4.0
170,170,ETIM,Integrado,Parda,Masculino,2,16,< 1 vez por semana,1,Regular,Boa,Boa,Boa,2,0,0,0,0,Sim,Ensino médio,Graduação,4,5,4,Pública,4.333333333333333
142,142,ETIM,Integrado,Branca,Feminino,2,16,< 1 vez por semana,1,Muito boa,Muito boa,Regular,Boa,4,4,2,3,4,Não,Graduação,Graduação,3,4,3,Pública,3.333333333333333
391,391,ETEC-BQ,Conc-Sub,Branca,Feminino,2,18,1-2 vezes por semana,2,Ruim,Muito boa,Muito boa,Regular,0,0,0,0,0,Não,Ensino médio,Ensino médio,4,3,4,Pública,3.6666666666666665
336,336,ETEC-OS,Conc-Sub,Branca,Feminino,1,18,< 1 vez por semana,1,Boa,Muito boa,Boa,Muito boa,5,5,5,5,5,Sim,Ensino médio,Ensino médio,3,4,4,Pública,3.6666666666666665
221,221,IFSP,Integrado,Negra,Feminino,2,16,> 3 vezes por semana,1,Boa,Muito boa,Muito boa,Muito ruim,0,0,0,1,0,Sim,Ensino médio,Ensino médio,4,4,4,Pública,4.0
95,95,ETIM,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,2,Ruim,Muito boa,Boa,Ruim,0,1,1,1,1,Não,Graduação,Graduação,3,4,4,Pública,3.6666666666666665
51,51,ETIM,Integrado,Branca,Masculino,3,18,< 1 vez por semana,0,Muito ruim,Boa,Boa,Regular,0,1,1,0,0,Sim,Pós-graduação,Pós-graduação,5,3,4,Pública,4.0
240,240,RB,Integrado,Branca,Masculino,1,15,2-3 vezes por semana,1,Regular,Muito boa,Muito boa,Ruim,2,2,6,3,0,Sim,Pós-graduação,Pós-graduação,4,4,4,Privada,4.0
365,365,ETEC-BQ,Conc-Sub,Parda,Masculino,1,17,2-3 vezes por semana,0,Regular,Boa,Regular,Muito boa,2,0,2,1,0,Não,Fundamental 1,Fundamental 1,1,3,3,Pública,2.333333333333333
371,371,ETEC-BQ,Conc-Sub,Parda,Masculino,3,18,1-2 vezes por semana,3,Ruim,Regular,Muito boa,Boa,0,0,0,0,0,Sim,Fundamental 2,Fundamental 2,4,4,4,Pública,4.0
178,178,ETIM,Integrado,Branca,Masculino,2,17,1-2 vezes por semana,0,Regular,Regular,Muito boa,Boa,1,0,6,0,1,Não,Graduação,Ensino médio,3,4,2,Pública,3.0
41,41,ETIM,Integrado,Parda,Feminino,3,17,2-3 vezes por semana,3,Regular,Muito boa,Boa,Regular,1,0,0,0,0,Sim,Ensino médio,Ensino médio,4,4,3,Pública,3.6666666666666665
380,380,ETEC-BQ,Conc-Sub,Branca,Feminino,2,17,1-2 vezes por semana,0,Ruim,Regular,Muito boa,Regular,0,0,0,2,0,Não,Ensino médio,Ensino médio,5,4,4,Pública,4.333333333333333
206,206,IFSP,Integrado,Branca,Masculino,2,15,2-3 vezes por semana,1,Regular,Boa,Regular,Boa,4,2,6,2,3,Sim,Ensino médio,Ensino médio,4,5,4,Pública,4.333333333333333
282,282,RB,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,2,Regular,Muito boa,Boa,Boa,0,0,0,0,0,Não,Pós-graduação,Graduação,3,4,4,Privada,3.6666666666666665
254,254,RB,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,2,Regular,Regular,Muito boa,Boa,0,0,4,0,0,Sim,Pós-graduação,Pós-graduação,3,5,4,Privada,4.0
405,405,ETEC-BQ,Conc-Sub,Branca,Masculino,2,16,< 1 vez por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,5,2,0,2,Sim,Ensino médio,Graduação,4,3,3,Pública,3.333333333333333
4,4,ETIM,Integrado,Branca,Feminino,1,15,1-2 vezes por semana,0,Boa,Boa,Boa,Boa,1,1,2,0,1,Sim,Graduação,Graduação,4,4,3,Pública,3.6666666666666665
256,256,RB,Integrado,Parda,Feminino,2,16,2-3 vezes por semana,2,Boa,Boa,Muito boa,Boa,0,0,1,0,0,Sim,Pós-graduação,Pós-graduação,2,5,4,Privada,3.6666666666666665
439,439,ETEC-BQ,Conc-Sub,Parda,Masculino,2,19,> 3 vezes por semana,0,Regular,Boa,Regular,Boa,0,0,0,0,0,Sim,Ensino médio,Fundamental 1,4,4,4,Pública,4.0
100,100,ETIM,Integrado,Parda,Masculino,1,16,> 3 vezes por semana,1,Boa,Boa,Boa,Ruim,0,0,0,1,0,Sim,Graduação,Graduação,4,4,3,Pública,3.6666666666666665
226,226,IFSP,Integrado,Parda,Feminino,2,16,2-3 vezes por semana,1,Regular,Muito boa,Muito boa,Muito ruim,0,0,0,0,0,Não,Ensino médio,Ensino médio,4,5,3,Pública,4.0
419,419,ETEC-BQ,Conc-Sub,Branca,Feminino,2,17,> 3 vezes por semana,1,Ruim,Boa,Boa,Boa,0,0,1,1,0,Não,Ensino médio,Fundamental 1,2,3,3,Pública,2.6666666666666665
213,213,IFSP,Integrado,Branca,Masculino,2,16,< 1 vez por semana,0,Regular,Boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,4,3,3,Pública,3.333333333333333
171,171,ETIM,Integrado,Parda,Masculino,2,16,> 3 vezes por semana,1,Regular,Boa,Regular,Boa,2,0,3,0,0,Sim,Ensino médio,Ensino médio,3,3,3,Pública,3.0
98,98,ETIM,Integrado,Branca,Masculino,1,15,1-2 vezes por semana,0,Regular,Muito boa,Muito boa,Boa,0,1,2,0,0,Não,Ensino médio,Ensino médio,3,4,4,Pública,3.6666666666666665
292,292,RB,Integrado,Branca,Masculino,3,17,2-3 vezes por semana,1,Ruim,Muito boa,Muito boa,Muito ruim,0,0,0,1,0,Sim,Pós-graduação,Pós-graduação,2,5,4,Privada,3.6666666666666665
215,215,IFSP,Integrado,Branca,Masculino,2,17,1-2 vezes por semana,0,Regular,Boa,Muito boa,Muito boa,0,2,0,0,0,Sim,Ensino médio,Ensino médio,5,5,4,Pública,4.666666666666667
61,61,ETIM,Integrado,Branca,Masculino,2,17,< 1 vez por semana,0,Boa,Boa,Boa,Boa,0,0,5,5,0,Não,Graduação,Graduação,4,3,4,Pública,3.6666666666666665
47,47,ETIM,Integrado,Parda,Masculino,3,18,< 1 vez por semana,0,Boa,Muito boa,Boa,Boa,0,0,0,0,0,Não,Ensino médio,Fundamental 1,3,4,3,Pública,3.333333333333333
32,32,ETIM,Integrado,Branca,Feminino,3,18,1-2 vezes por semana,0,Boa,Boa,Boa,Muito boa,0,2,1,0,1,Sim,Graduação,Ensino médio,3,4,4,Pública,3.6666666666666665
267,267,RB,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,0,Boa,Muito boa,Muito boa,Boa,0,2,0,0,0,Sim,Ensino médio,Ensino médio,5,4,5,Privada,4.666666666666667
327,327,SJ,Integrado,Branca,Feminino,3,17,1-2 vezes por semana,0,Ruim,Muito boa,Muito boa,Muito boa,0,2,0,0,0,Não,Pós-graduação,Ensino médio,5,5,5,Privada,5.0
200,200,IFSP,Integrado,Negra,Feminino,2,17,> 3 vezes por semana,2,Ruim,Boa,Muito boa,Boa,0,5,3,0,2,Não,Pós-graduação,Pós-graduação,3,4,4,Pública,3.6666666666666665
437,437,ETEC-BQ,Conc-Sub,Parda,Feminino,1,19,> 3 vezes por semana,1,Boa,Boa,Boa,Regular,0,0,0,0,0,Não,Fundamental 2,Fundamental 1,5,4,4,Pública,4.333333333333333
27,27,ETIM,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,1,Ruim,Muito ruim,Ruim,Ruim,0,6,6,0,0,Não,Pós-graduação,Ensino médio,2,3,3,Pública,2.6666666666666665
382,382,ETEC-BQ,Conc-Sub,Parda,Feminino,2,16,> 3 vezes por semana,0,Regular,Boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,5,4,4,Pública,4.333333333333333
230,230,IFSP,Integrado,Branca,Feminino,1,16,2-3 vezes por semana,1,Regular,Boa,Muito boa,Muito boa,0,0,0,0,0,Sim,Graduação,Fundamental 2,3,3,3,Pública,3.0
260,260,RB,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,1,Regular,Muito boa,Boa,Boa,0,1,0,0,0,Sim,Ensino médio,Graduação,4,5,4,Privada,4.333333333333333
288,288,RB,Integrado,Branca,Feminino,3,17,< 1 vez por semana,1,Boa,Muito boa,Muito boa,Boa,0,1,0,0,0,Não,Graduação,Graduação,4,4,4,Privada,4.0
162,162,ETIM,Integrado,Branca,Masculino,1,16,> 3 vezes por semana,0,Ruim,Boa,Boa,Muito boa,0,2,2,1,1,Não,Ensino médio,Graduação,2,5,4,Pública,3.6666666666666665
417,417,ETEC-BQ,Conc-Sub,Parda,Masculino,1,17,> 3 vezes por semana,1,Boa,Boa,Regular,Regular,0,0,0,0,0,Sim,Fundamental 2,Ensino médio,3,4,4,Pública,3.6666666666666665
138,138,ETIM,Integrado,Branca,Feminino,2,17,> 3 vezes por semana,1,Regular,Boa,Boa,Regular,0,0,0,0,0,Sim,Ensino médio,Graduação,3,4,3,Pública,3.333333333333333
62,62,ETIM,Integrado,Branca,Masculino,2,17,1-2 vezes por semana,1,Muito boa,Regular,Muito boa,Ruim,4,0,2,1,1,Sim,Graduação,Graduação,5,3,4,Pública,4.0
135,135,ETIM,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,1,Boa,Muito boa,Regular,Boa,1,4,4,0,3,Sim,Fundamental 1,Ensino médio,3,4,3,Pública,3.333333333333333
128,128,ETIM,Integrado,Parda,Feminino,3,18,> 3 vezes por semana,1,Muito ruim,Muito boa,Boa,Muito ruim,0,1,3,2,0,Não,Graduação,Ensino médio,3,5,3,Pública,3.6666666666666665
465,465,ETEC-HM,Conc-Sub,Negra,Feminino,1,19,> 3 vezes por semana,2,Regular,Muito boa,Muito boa,Regular,0,0,0,0,0,Sim,Ensino médio,Ensino médio,5,5,4,Pública,4.666666666666667
8,8,ETIM,Integrado,Parda,Feminino,1,16,1-2 vezes por semana,0,Muito ruim,Muito boa,Boa,Regular,1,2,0,0,4,Sim,Ensino médio,Ensino médio,4,3,3,Pública,3.333333333333333
326,326,SJ,Integrado,Branca,Feminino,3,17,< 1 vez por semana,0,Regular,Boa,Boa,Boa,0,2,6,0,5,Não,Ensino médio,Graduação,3,5,3,Privada,3.6666666666666665
453,453,ETEC-BQ,Conc-Sub,Branca,Masculino,3,19,2-3 vezes por semana,1,Regular,Boa,Boa,Ruim,0,0,3,0,0,Sim,Ensino médio,Fundamental 1,3,3,3,Pública,3.0
64,64,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,2,Ruim,Muito boa,Muito boa,Regular,0,5,2,2,0,Não,Ensino médio,Ensino médio,4,5,4,Pública,4.333333333333333
300,300,SJ,Integrado,Branca,Feminino,1,15,1-2 vezes por semana,0,Regular,Muito boa,Regular,Regular,1,2,4,4,1,Sim,Pós-graduação,Graduação,5,5,3,Privada,4.333333333333333
14,14,ETIM,Integrado,Parda,Feminino,2,16,< 1 vez por semana,2,Muito ruim,Ruim,Regular,Muito ruim,0,3,0,0,0,Não,Pós-graduação,Pós-graduação,5,4,3,Pública,4.0
156,156,ETIM,Integrado,Negra,Masculino,3,18,1-2 vezes por semana,0,Boa,Muito boa,Boa,Boa,2,3,3,0,1,Sim,Ensino médio,Ensino médio,3,4,4,Pública,3.6666666666666665
40,40,ETIM,Integrado,Branca,Masculino,3,18,1-2 vezes por semana,1,Boa,Muito boa,Boa,Boa,0,1,5,1,0,Não,Ensino médio,Ensino médio,4,5,4,Pública,4.333333333333333
379,379,ETEC-BQ,Conc-Sub,Negra,Masculino,2,17,> 3 vezes por semana,0,Regular,Regular,Muito boa,Regular,4,5,6,3,3,Não,Graduação,Ensino médio,4,4,4,Pública,4.0
449,449,ETEC-BQ,Conc-Sub,Branca,Masculino,4,19,2-3 vezes por semana,2,Regular,Boa,Boa,Boa,0,0,0,0,0,Sim,Fundamental 2,Fundamental 2,4,5,5,Pública,4.666666666666667
396,396,ETEC-BQ,Conc-Sub,Parda,Masculino,1,18,> 3 vezes por semana,0,Boa,Muito boa,Boa,Boa,1,0,2,3,0,Sim,Ensino médio,Ensino médio,5,4,5,Pública,4.666666666666667
216,216,IFSP,Integrado,Negra,Masculino,2,17,2-3 vezes por semana,0,Regular,Regular,Regular,Regular,0,0,0,1,0,Sim,Fundamental 2,Ensino médio,3,4,3,Pública,3.333333333333333
279,279,RB,Integrado,Branca,Feminino,3,18,2-3 vezes por semana,0,Boa,Muito boa,Boa,Regular,0,1,0,0,0,Sim,Graduação,Graduação,3,3,3,Privada,3.0
425,425,ETEC-BQ,Conc-Sub,Branca,Masculino,2,17,< 1 vez por semana,0,Boa,Muito boa,Muito boa,Boa,0,0,0,0,0,Não,Ensino médio,Graduação,3,3,3,Pública,3.0
421,421,ETEC-BQ,Conc-Sub,Negra,Masculino,2,17,2-3 vezes por semana,0,Ruim,Boa,Boa,Regular,0,0,0,0,0,Não,Ensino médio,Graduação,4,3,3,Pública,3.333333333333333
