,Escola,Curso,Cor ,Genero,Ano,Idade,Demora dormir,Sonhos ruins,Qualidade do sono,Relação com Amigos,Relação com Professores,Auto-Imag,Fisico,Social,Verbal,Material,Virtual,Mora com pais,Escolari-mãe,Escolari-pai,Nota-exatas,Nota-humanas,Nota-biológicas,Tipo escola,Bullying Total,Sofreu Bullying?,Cor Agrupada,Média-notas,Média-notas-cat,SOFREU-BULLYING
325,SJ,Integrado,Branca,Masculino,3,17,< 1 vez por semana,1,Muito ruim,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Pós-graduação,Pós-graduação,2,5,3,Privada,0,Não Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,False
140,ETIM,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,3,Boa,Boa,Boa,Muito boa,0,3,4,0,0,Sim,Fundamental 2,Fundamental 1,3,5,4,Pública,7,Sofreu Bullying,Branca,4.0,4.0,True
433,ETEC-BQ,Conc-Sub,Branca,Masculino,4,17,< 1 vez por semana,1,Regular,Muito boa,Boa,Boa,0,0,2,2,0,Sim,Pós-graduação,Graduação,4,3,3,Pública,4,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
416,ETEC-BQ,Conc-Sub,Branca,Masculino,1,18,> 3 vezes por semana,0,Regular,Boa,Boa,Boa,0,0,0,0,0,Não,Fundamental 2,Graduação,4,4,4,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
487,ETEC-HM,Conc-Sub,Branca,Masculino,1,18,2-3 vezes por semana,2,Regular,Boa,Boa,Boa,0,0,0,0,0,Não,Ensino médio,Fundamental 1,3,4,5,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
25,ETIM,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,2,Boa,Boa,Boa,Regular,0,1,0,1,0,Sim,Graduação,Graduação,4,3,3,Pública,2,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
459,ETEC-HM,Conc-Sub,Branca,Feminino,2,18,< 1 vez por semana,1,Regular,Boa,Boa,Regular,0,2,0,0,0,Não,Ensino médio,Fundamental 2,4,3,3,Pública,2,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
137,ETIM,Integrado,Parda,Feminino,2,17,< 1 vez por semana,0,Regular,Boa,Muito boa,Muito ruim,0,2,4,0,0,Sim,Ensino médio,Ensino médio,4,4,3,Pública,6,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
454,ETEC-BQ,Conc-Sub,Branca,Masculino,1,19,< 1 vez por semana,0,Regular,Muito boa,Boa,Boa,1,0,1,2,0,Não,Ensino médio,Fundamental 1,5,2,3,Pública,4,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
349,ETEC-BQ,Conc-Sub,Branca,Feminino,1,16,2-3 vezes por semana,2,Regular,Boa,Boa,Regular,0,2,1,0,0,Sim,Graduação,Graduação,4,4,2,Pública,3,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
42,ETIM,Integrado,Branca,Masculino,3,17,1-2 vezes por semana,0,Boa,Muito boa,Muito boa,Muito boa,1,0,1,0,0,Sim,Ensino médio,Graduação,3,4,4,Pública,2,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
208,IFSP,Integrado,Branca,Masculino,2,17,> 3 vezes por semana,0,Boa,Muito boa,Regular,Ruim,0,0,0,0,0,Sim,Graduação,Graduação,4,3,3,Pública,0,Não Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,False
237,RB,Integrado,Branca,Feminino,1,15,> 3 vezes por semana,1,Regular,Muito boa,Regular,Ruim,0,0,0,0,0,Sim,Graduação,Graduação,2,4,3,Privada,0,Não Sofreu Bullying,Branca,3.0,3.0,False
274,RB,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,2,Regular,Muito boa,Boa,Regular,0,1,2,0,0,Não,Graduação,Graduação,1,5,3,Privada,3,Sofreu Bullying,Branca,3.0,3.0,True
249,RB,Integrado,Branca,Feminino,1,15,2-3 vezes por semana,1,Regular,Muito boa,Boa,Boa,0,0,3,0,0,Sim,Graduação,Graduação,3,3,5,Privada,3,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
467,ETEC-HM,Conc-Sub,Branca,Masculino,3,16,> 3 vezes por semana,0,Regular,Muito boa,Boa,Boa,1,0,1,0,0,Sim,Fundamental 2,Fundamental 1,4,5,4,Pública,2,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
355,ETEC-BQ,Conc-Sub,Branca,Feminino,1,18,2-3 vezes por semana,0,Boa,Muito boa,Muito boa,Regular,0,0,0,0,0,Sim,Fundamental 1,Ensino médio,5,4,4,Pública,0,Não Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,False
410,ETEC-BQ,Conc-Sub,Branca,Masculino,1,18,1-2 vezes por semana,0,Regular,Boa,Boa,Boa,0,0,3,0,0,Não,Ensino médio,Fundamental 2,3,4,4,Pública,3,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
245,RB,Integrado,Branca,Masculino,1,15,< 1 vez por semana,0,Muito boa,Muito boa,Muito boa,Ruim,0,3,5,6,2,Sim,Pós-graduação,Pós-graduação,1,4,5,Privada,16,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
440,ETEC-BQ,Conc-Sub,Negra,Feminino,2,19,< 1 vez por semana,0,Ruim,Boa,Boa,Boa,0,0,2,0,0,Não,Fundamental 2,Fundamental 2,4,4,4,Pública,2,Sofreu Bullying,Não-Branca,4.0,4.0,True
22,ETIM,Integrado,Parda,Masculino,3,17,< 1 vez por semana,1,Regular,Boa,Boa,Boa,0,1,0,2,0,Sim,Ensino médio,Ensino médio,5,4,5,Pública,3,Sofreu Bullying,Não-Branca,4.666666666666667,4.666666666666667,True
321,SJ,Integrado,Branca,Masculino,2,17,1-2 vezes por semana,1,Muito ruim,Muito boa,Muito boa,Boa,0,0,0,0,0,Não,Ensino médio,Graduação,5,4,5,Privada,0,Não Sofreu Bullying,Branca,4.666666666666667,4.666666666666667,False
46,ETIM,Integrado,Parda,Masculino,3,17,2-3 vezes por semana,1,Regular,Muito boa,Boa,Ruim,1,0,2,0,0,Sim,Ensino médio,Pós-graduação,3,3,3,Pública,3,Sofreu Bullying,Não-Branca,3.0,3.0,True
31,ETIM,Integrado,Parda,Feminino,3,18,2-3 vezes por semana,2,Ruim,Boa,Boa,Boa,0,5,0,0,0,Sim,Graduação,Ensino médio,3,5,4,Pública,5,Sofreu Bullying,Não-Branca,4.0,4.0,True
113,ETIM,Integrado,Branca,Masculino,2,17,> 3 vezes por semana,0,Muito ruim,Boa,Boa,Regular,0,0,0,0,0,Sim,Fundamental 2,Ensino médio,5,3,5,Pública,0,Não Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,False
370,ETEC-BQ,Conc-Sub,Negra,Feminino,3,18,< 1 vez por semana,0,Ruim,Boa,Boa,Muito boa,0,0,0,0,0,Não,Graduação,Ensino médio,3,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,False
299,SJ,Integrado,Negra,Feminino,1,15,1-2 vezes por semana,0,Muito ruim,Muito boa,Muito boa,Muito boa,0,0,3,1,0,Sim,Ensino médio,Fundamental 1,2,4,4,Privada,4,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
192,IFSP,Integrado,Branca,Masculino,2,17,1-2 vezes por semana,1,Ruim,Muito boa,Boa,Boa,0,1,0,2,0,Não,Ensino médio,Fundamental 2,4,4,5,Pública,3,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
132,ETIM,Integrado,Branca,Masculino,3,18,> 3 vezes por semana,1,Muito ruim,Muito boa,Muito ruim,Boa,1,2,4,0,0,Sim,Ensino médio,Graduação,2,3,3,Pública,7,Sofreu Bullying,Branca,2.6666666666666665,2.6666666666666665,True
57,ETIM,Integrado,Parda,Masculino,2,18,< 1 vez por semana,1,Boa,Boa,Regular,Ruim,1,2,3,2,1,Não,Ensino médio,Ensino médio,3,4,3,Pública,9,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
182,ETIM,Integrado,Parda,Masculino,3,18,> 3 vezes por semana,0,Boa,Muito boa,Boa,Muito boa,0,0,0,0,0,Sim,Graduação,Graduação,3,3,3,Pública,0,Não Sofreu Bullying,Não-Branca,3.0,3.0,False
24,ETIM,Integrado,Parda,Feminino,3,17,> 3 vezes por semana,2,Muito ruim,Regular,Regular,Ruim,0,4,3,0,0,Sim,Fundamental 2,Ensino médio,3,4,3,Pública,7,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
17,ETIM,Integrado,Parda,Feminino,2,16,2-3 vezes por semana,2,Regular,Boa,Regular,Regular,0,3,2,2,0,Sim,Fundamental ,Fundamental 1,5,5,5,Pública,7,Sofreu Bullying,Não-Branca,5.0,5.0,True
180,ETIM,Integrado,Branca,Masculino,2,16,> 3 vezes por semana,1,Boa,Muito boa,Muito boa,Boa,2,0,2,2,0,Sim,Graduação,Pós-graduação,4,4,3,Pública,6,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
66,ETIM,Integrado,Parda,Masculino,1,15,> 3 vezes por semana,2,Regular,Boa,Boa,Ruim,1,3,3,3,0,Sim,Ensino médio,Graduação,3,4,3,Pública,10,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
261,RB,Integrado,Branca,Masculino,2,16,2-3 vezes por semana,1,Boa,Muito boa,Boa,Boa,0,1,2,0,0,Sim,Pós-graduação,Pós-graduação,2,3,4,Privada,3,Sofreu Bullying,Branca,3.0,3.0,True
176,ETIM,Integrado,Branca,Masculino,2,17,> 3 vezes por semana,2,Ruim,Muito boa,Boa,Boa,1,2,4,2,2,Sim,Pós-graduação,Ensino médio,4,4,3,Pública,11,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
94,ETIM,Integrado,Branca,Masculino,3,17,2-3 vezes por semana,0,Regular,Boa,Muito boa,Muito boa,0,0,0,0,0,Não,Graduação,Graduação,3,3,3,Pública,0,Não Sofreu Bullying,Branca,3.0,3.0,False
318,SJ,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,0,Regular,Boa,Muito boa,Ruim,0,3,4,4,1,Não,Pós-graduação,Graduação,5,5,5,Privada,12,Sofreu Bullying,Branca,5.0,5.0,True
384,ETEC-BQ,Conc-Sub,Branca,Masculino,2,18,< 1 vez por semana,1,Ruim,Muito boa,Muito boa,Boa,0,0,2,0,0,Sim,Fundamental 2,Ensino médio,3,4,4,Pública,2,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
23,ETIM,Integrado,Parda,Masculino,3,17,2-3 vezes por semana,0,Muito ruim,Boa,Regular,Boa,0,2,2,0,0,Sim,Graduação,Fundamental 2,2,4,3,Pública,4,Sofreu Bullying,Não-Branca,3.0,3.0,True
210,IFSP,Integrado,Parda,Feminino,2,15,1-2 vezes por semana,1,Regular,Boa,Boa,Regular,0,0,0,1,0,Sim,Graduação,Ensino médio,3,4,3,Pública,1,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
346,ETEC-OS,Conc-Sub,Parda,Masculino,2,18,< 1 vez por semana,0,Muito boa,Muito boa,Muito boa,Muito boa,5,5,5,5,5,Sim,Fundamental 2,Fundamental 2,5,4,4,Pública,25,Sofreu Bullying,Não-Branca,4.333333333333333,4.333333333333333,True
307,SJ,Integrado,Branca,Masculino,2,16,1-2 vezes por semana,1,Ruim,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Graduação,Graduação,3,4,4,Privada,0,Não Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,False
5,ETIM,Integrado,Branca,Feminino,1,15,> 3 vezes por semana,2,Muito ruim,Muito boa,Muito boa,Boa,0,5,1,0,2,Sim,Graduação,Pós-graduação,2,4,5,Pública,8,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
116,ETIM,Integrado,Negra,Masculino,2,16,2-3 vezes por semana,2,Ruim,Muito boa,Boa,Boa,5,0,6,0,4,Sim,Pós-graduação,Ensino médio,4,4,3,Pública,15,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
45,ETIM,Integrado,Branca,Feminino,3,18,> 3 vezes por semana,2,Ruim,Boa,Regular,Muito ruim,0,5,6,3,3,Sim,Ensino médio,Fundamental 2,3,3,3,Pública,17,Sofreu Bullying,Branca,3.0,3.0,True
16,ETIM,Integrado,Branca,Feminino,2,17,< 1 vez por semana,0,Regular,Muito boa,Boa,Regular,0,1,3,0,0,Sim,Ensino médio,Ensino médio,4,4,4,Pública,4,Sofreu Bullying,Branca,4.0,4.0,True
452,ETEC-BQ,Conc-Sub,Branca,Masculino,4,19,> 3 vezes por semana,3,Muito ruim,Boa,Muito boa,Muito ruim,2,2,6,0,0,Não,Ensino médio,Fundamental 2,3,2,1,Pública,10,Sofreu Bullying,Branca,2.0,2.0,True
400,ETEC-BQ,Conc-Sub,Negra,Masculino,1,17,2-3 vezes por semana,2,Muito boa,Boa,Muito boa,Regular,4,4,5,4,0,Não,Fundamental 1,Fundamental 1,2,3,3,Pública,17,Sofreu Bullying,Não-Branca,2.6666666666666665,2.6666666666666665,True
3,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,0,Muito ruim,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Graduação,4,4,4,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
341,ETEC-OS,Conc-Sub,Parda,Feminino,1,19,1-2 vezes por semana,1,Regular,Boa,Boa,Muito boa,5,5,5,5,5,Sim,Ensino médio,Ensino médio,5,4,4,Pública,25,Sofreu Bullying,Não-Branca,4.333333333333333,4.333333333333333,True
446,ETEC-BQ,Conc-Sub,Branca,Masculino,2,19,2-3 vezes por semana,0,Regular,Boa,Muito boa,Boa,0,2,2,0,0,Sim,Ensino médio,Ensino médio,3,4,4,Pública,4,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
60,ETIM,Integrado,Parda,Masculino,2,16,1-2 vezes por semana,1,Regular,Muito boa,Regular,Regular,4,2,6,5,0,Sim,Ensino médio,Ensino médio,2,3,3,Pública,17,Sofreu Bullying,Não-Branca,2.6666666666666665,2.6666666666666665,True
110,ETIM,Integrado,Parda,Feminino,1,15,2-3 vezes por semana,1,Regular,Regular,Regular,Boa,1,0,2,5,1,Não,Ensino médio,Ensino médio,3,4,5,Pública,9,Sofreu Bullying,Não-Branca,4.0,4.0,True
457,ETEC-HM,Conc-Sub,Parda,Feminino,2,19,< 1 vez por semana,0,Regular,Boa,Boa,Muito ruim,0,0,2,0,0,Sim,Graduação,Fundamental 2,2,5,4,Pública,2,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
301,SJ,Integrado,Branca,Masculino,1,15,2-3 vezes por semana,1,Ruim,Boa,Regular,Muito ruim,3,0,6,6,2,Sim,Graduação,Pós-graduação,4,5,2,Privada,17,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
29,ETIM,Integrado,Branca,Masculino,3,18,2-3 vezes por semana,0,Ruim,Boa,Muito boa,Muito ruim,0,3,4,0,3,Sim,Ensino médio,Ensino médio,4,5,4,Pública,10,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
175,ETIM,Integrado,Branca,Masculino,2,16,> 3 vezes por semana,2,Ruim,Regular,Regular,Regular,0,6,3,1,0,Sim,Ensino médio,Ensino médio,3,4,3,Pública,10,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
225,IFSP,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,2,Boa,Regular,Boa,Regular,1,4,0,0,0,Não,Ensino médio,Ensino médio,4,3,3,Pública,5,Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,True
26,ETIM,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,1,Boa,Muito boa,Boa,Regular,0,2,1,0,0,Não,Graduação,Ensino médio,4,4,4,Pública,3,Sofreu Bullying,Branca,4.0,4.0,True
7,ETIM,Integrado,Parda,Feminino,1,16,2-3 vezes por semana,0,Boa,Muito boa,Muito boa,Muito boa,0,1,1,0,0,Não,Graduação,Ensino médio,2,4,3,Pública,2,Sofreu Bullying,Não-Branca,3.0,3.0,True
444,ETEC-BQ,Conc-Sub,Negra,Masculino,4,19,2-3 vezes por semana,0,Regular,Muito boa,Muito boa,Regular,0,0,0,2,2,Não,Graduação,Graduação,4,4,4,Pública,4,Sofreu Bullying,Não-Branca,4.0,4.0,True
108,ETIM,Integrado,Branca,Masculino,1,15,> 3 vezes por semana,0,Regular,Muito boa,Muito boa,Muito boa,0,0,0,1,0,Sim,Ensino médio,Ensino médio,4,5,4,Pública,1,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
37,ETIM,Integrado,Parda,Masculino,1,15,< 1 vez por semana,0,Boa,Boa,Muito boa,Muito ruim,0,1,0,1,0,Sim,Ensino médio,Ensino médio,1,5,4,Pública,2,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
157,ETIM,Integrado,Negra,Masculino,3,18,1-2 vezes por semana,0,Regular,Boa,Regular,Boa,0,0,1,0,0,Sim,Fundamental 1,Fundamental 1,1,3,3,Pública,1,Sofreu Bullying,Não-Branca,2.333333333333333,2.333333333333333,True
456,ETEC-HM,Conc-Sub,Branca,Masculino,2,18,2-3 vezes por semana,0,Boa,Boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,4,5,4,Pública,0,Não Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,False
118,ETIM,Integrado,Branca,Masculino,2,17,2-3 vezes por semana,1,Ruim,Muito boa,Boa,Muito boa,1,0,5,2,1,Sim,Graduação,Ensino médio,4,4,3,Pública,9,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
114,ETIM,Integrado,Parda,Masculino,2,16,2-3 vezes por semana,2,Ruim,Boa,Boa,Regular,0,2,3,1,0,Sim,Ensino médio,Ensino médio,4,4,4,Pública,6,Sofreu Bullying,Não-Branca,4.0,4.0,True
227,IFSP,Integrado,Parda,Masculino,2,16,2-3 vezes por semana,1,Regular,Muito boa,Boa,Muito ruim,0,0,0,0,0,Sim,Pós-graduação,Ensino médio,4,5,3,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
172,ETIM,Integrado,Branca,Feminino,2,17,> 3 vezes por semana,2,Muito ruim,Boa,Boa,Muito ruim,0,3,6,0,0,Não,Graduação,Ensino médio,4,5,5,Pública,9,Sofreu Bullying,Branca,4.666666666666667,4.666666666666667,True
144,ETIM,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,2,Boa,Boa,Boa,Muito boa,3,2,2,2,0,Sim,Graduação,Pós-graduação,1,4,3,Pública,9,Sofreu Bullying,Branca,2.6666666666666665,2.6666666666666665,True
362,ETEC-BQ,Conc-Sub,Negra,Masculino,1,18,> 3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,0,0,0,Não,Ensino médio,Ensino médio,5,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.333333333333333,4.333333333333333,False
473,ETEC-HM,Conc-Sub,Negra,Feminino,2,18,1-2 vezes por semana,0,Boa,Boa,Muito boa,Regular,0,4,0,0,0,Sim,Fundamental 1,Fundamental 2,4,4,4,Pública,4,Sofreu Bullying,Não-Branca,4.0,4.0,True
185,ETIM,Integrado,Negra,Masculino,3,19,< 1 vez por semana,0,Ruim,Regular,Boa,Ruim,2,0,4,6,0,Sim,Graduação,Fundamental 1,5,4,3,Pública,12,Sofreu Bullying,Não-Branca,4.0,4.0,True
203,IFSP,Integrado,Negra,Feminino,2,17,1-2 vezes por semana,2,Regular,Muito boa,Regular,Regular,1,0,1,0,0,Sim,Fundamental 2,Fundamental 1,4,4,3,Pública,2,Sofreu Bullying,Não-Branca,3.6666666666666665,3.6666666666666665,True
418,ETEC-BQ,Conc-Sub,Parda,Masculino,1,16,2-3 vezes por semana,0,Boa,Muito boa,Regular,Boa,1,0,3,0,1,Sim,Ensino médio,Ensino médio,3,4,3,Pública,5,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
436,ETEC-BQ,Conc-Sub,Parda,Masculino,1,19,1-2 vezes por semana,0,Ruim,Muito boa,Muito boa,Muito boa,0,0,0,0,0,Não,Ensino médio,Ensino médio,5,4,3,Pública,0,Não Sofreu Bullying,Não-Branca,4.0,4.0,False
141,ETIM,Integrado,Branca,Feminino,2,16,< 1 vez por semana,1,Regular,Muito boa,Boa,Muito boa,0,0,0,0,0,Sim,Graduação,Pós-graduação,4,3,3,Pública,0,Não Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,False
358,ETEC-BQ,Conc-Sub,Parda,Masculino,1,18,< 1 vez por semana,0,Boa,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Fundamental 1,Fundamental 1,5,4,4,Pública,0,Não Sofreu Bullying,Não-Branca,4.333333333333333,4.333333333333333,False
67,ETIM,Integrado,Branca,Masculino,1,15,2-3 vezes por semana,0,Regular,Boa,Boa,Ruim,1,1,6,0,0,Sim,Ensino médio,Ensino médio,3,5,5,Pública,8,Sofreu Bullying,Branca,4.333333333333333,4.333333333333333,True
199,IFSP,Integrado,Branca,Masculino,2,16,< 1 vez por semana,0,Boa,Muito boa,Muito boa,Boa,0,0,0,0,0,Sim,Graduação,Pós-graduação,4,4,4,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
168,ETIM,Integrado,Parda,Feminino,1,15,< 1 vez por semana,2,Ruim,Muito boa,Muito boa,Boa,0,1,0,0,0,Sim,Graduação,Ensino médio,4,3,1,Pública,1,Sofreu Bullying,Não-Branca,2.6666666666666665,2.6666666666666665,True
368,ETEC-BQ,Conc-Sub,Negra,Masculino,1,18,> 3 vezes por semana,1,Regular,Boa,Boa,Boa,0,0,1,0,0,Sim,Fundamental 2,Ensino médio,5,3,2,Pública,1,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
402,ETEC-BQ,Conc-Sub,Branca,Masculino,1,16,> 3 vezes por semana,0,Regular,Boa,Boa,Regular,0,1,5,3,0,Sim,Ensino médio,Ensino médio,5,4,3,Pública,9,Sofreu Bullying,Branca,4.0,4.0,True
234,IFSP,Integrado,Branca,Feminino,1,15,2-3 vezes por semana,0,Regular,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,2,4,4,Pública,0,Não Sofreu Bullying,Branca,3.333333333333333,3.333333333333333,False
109,ETIM,Integrado,Branca,Masculino,1,16,> 3 vezes por semana,1,Ruim,Boa,Regular,Regular,2,2,3,0,0,Não,Graduação,Ensino médio,2,2,2,Pública,7,Sofreu Bullying,Branca,2.0,2.0,True
476,ETEC-HM,Conc-Sub,Branca,Feminino,2,18,2-3 vezes por semana,0,Muito boa,Ruim,Muito boa,Boa,0,0,0,0,0,Não,Ensino médio,Ensino médio,4,4,4,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
145,ETIM,Integrado,Parda,Feminino,1,16,2-3 vezes por semana,2,Regular,Boa,Boa,Ruim,2,3,2,1,0,Sim,Ensino médio,Ensino médio,2,4,2,Pública,8,Sofreu Bullying,Não-Branca,2.6666666666666665,2.6666666666666665,True
455,ETEC-BQ,Conc-Sub,Branca,Masculino,1,19,< 1 vez por semana,2,Regular,Muito boa,Boa,Regular,0,2,3,4,0,Não,Graduação,Graduação,4,4,3,Pública,9,Sofreu Bullying,Branca,3.6666666666666665,3.6666666666666665,True
152,ETIM,Integrado,Parda,Feminino,1,15,2-3 vezes por semana,3,Ruim,Boa,Regular,Ruim,1,4,3,1,0,Não,Ensino médio,Graduação,5,3,2,Pública,9,Sofreu Bullying,Não-Branca,3.333333333333333,3.333333333333333,True
253,RB,Integrado,Branca,Feminino,2,15,2-3 vezes por semana,2,Boa,Boa,Boa,Muito boa,0,0,0,0,0,Sim,Pós-graduação,Pós-graduação,4,5,5,Privada,0,Não Sofreu Bullying,Branca,4.666666666666667,4.666666666666667,False
218,IFSP,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,0,Boa,Ruim,Muito boa,Boa,0,6,3,2,4,Não,Graduação,Ensino médio,3,5,4,Pública,15,Sofreu Bullying,Branca,4.0,4.0,True
83,ETIM,Integrado,Branca,Masculino,3,18,< 1 vez por semana,0,Regular,Boa,Boa,Muito boa,0,0,0,0,0,Sim,Ensino médio,Ensino médio,3,4,5,Pública,0,Não Sofreu Bullying,Branca,4.0,4.0,False
296,SJ,Integrado,Branca,Feminino,1,15,1-2 vezes por semana,0,Muito ruim,Muito boa,Muito boa,Ruim,0,0,0,0,0,Sim,Graduação,Graduação,5,4,5,Privada,0,Não Sofreu Bullying,Branca,4.666666666666667,4.666666666666667,False
